race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes
77,GBA Cheese Land,150,9,3DS Rock Rock Mountain,4,44.44%
77,GBA Cheese Land,150,9,GBA Cheese Land,2,22.22%
77,GBA Cheese Land,150,9,Random,1,11.11%
78,Tour Athens Dash,150,11,Tour Paris Promenade,4,36.36%
78,Tour Athens Dash,150,11,DS Shroom Ridge,4,36.36%
78,Tour Athens Dash,150,11,Random,2,18.18%
78,Tour Athens Dash,150,11,Tour Athens Dash,1,9.09%
79,Tour Berlin Byways,150,8,Toad Harbor,3,37.50%
79,Tour Berlin Byways,150,8,Tour Berlin Byways,2,25.00%
79,Tour Berlin Byways,150,8,Merry Mountain,2,25.00%
79,Tour Berlin Byways,150,8,Random,1,12.50%
80,DS Cheep Cheep Beach,150,8,Wii Maple Treeway,3,37.50%
80,DS Cheep Cheep Beach,150,8,DS Cheep Cheep Beach,4,50.00%
80,DS Cheep Cheep Beach,150,8,Random,1,12.50%
81,GBA Sunset Wilds,150,8,GBA Sunset Wilds,2,25.00%
81,GBA Sunset Wilds,150,8,Toad Harbor,2,25.00%
81,GBA Sunset Wilds,150,8,Random,1,12.50%
81,GBA Sunset Wilds,150,8,GCN Baby Park,3,37.50%
82,Tour Bangkok Rush,150,12,GCN DK Mountain,5,41.67%
82,Tour Bangkok Rush,150,12,Random,3,25.00%
82,Tour Bangkok Rush,150,12,Piranha Plant Cove,2,16.67%
82,Tour Bangkok Rush,150,12,Tour Bangkok Rush,2,16.67%
83,Squeaky Clean Sprint,150,12,Squeaky Clean Sprint,4,33.33%
83,Squeaky Clean Sprint,150,12,Wild Woods,2,16.67%
83,Squeaky Clean Sprint,150,12,Random,3,25.00%
83,Squeaky Clean Sprint,150,12,Piranha Plant Cove,3,25.00%
84,Tour London Loop,150,11,GCN Yoshi Circuit,3,27.27%
84,Tour London Loop,150,11,3DS Piranha Plant Slide,1,9.09%
84,Tour London Loop,150,11,Random,6,54.55%
84,Tour London Loop,150,11,Tour London Loop,1,9.09%
85,N64 Yoshi Valley,150,10,3DS Toad Circuit,5,50.00%
85,N64 Yoshi Valley,150,10,Piranha Plant Cove,2,20.00%
85,N64 Yoshi Valley,150,10,N64 Yoshi Valley,1,10.00%
85,N64 Yoshi Valley,150,10,Random,1,10.00%
85,N64 Yoshi Valley,150,10,Mount Wario,1,10.00%
86,GBA Snow Land,150,7,GBA Snow Land,4,57.14%
86,GBA Snow Land,150,7,Tour Amsterdam Drift,1,14.29%
86,GBA Snow Land,150,7,Big Blue,1,14.29%
86,GBA Snow Land,150,7,Random,1,14.29%
87,Tour Athens Dash,150,8,Wii Coconut Mall,4,50.00%
87,Tour Athens Dash,150,8,Tour Athens Dash,4,50.00%
88,GCN DK Mountain,150,9,GCN DK Mountain,4,44.44%
88,GCN DK Mountain,150,9,Tour Paris Promenade,3,33.33%
88,GCN DK Mountain,150,9,Merry Mountain,2,22.22%
89,DS Peach Gardens,150,10,Wii Coconut Mall,5,50.00%
89,DS Peach Gardens,150,10,Animal Crossing,1,10.00%
89,DS Peach Gardens,150,10,DS Peach Gardens,3,30.00%
89,DS Peach Gardens,150,10,Random,1,10.00%
90,DS Tick-Tock Clock,150,11,Wii Moo Moo Meadows,5,45.45%
90,DS Tick-Tock Clock,150,11,Random,3,27.27%
90,DS Tick-Tock Clock,150,11,DS Tick-Tock Clock,3,27.27%
91,Mount Wario,150,10,Mount Wario,6,60.00%
91,Mount Wario,150,10,N64 Kalimari Desert,3,30.00%
91,Mount Wario,150,10,Random,1,10.00%
92,Squeaky Clean Sprint,150,12,Squeaky Clean Sprint,4,33.33%
92,Squeaky Clean Sprint,150,12,Sweet Sweet Canyon,2,16.67%
92,Squeaky Clean Sprint,150,12,Random,2,16.67%
92,Squeaky Clean Sprint,150,12,SNES Mario Circuit 3,4,33.33%
93,Wild Woods,150,12,Wild Woods,5,41.67%
93,Wild Woods,150,12,Excitebike Arena,5,41.67%
93,Wild Woods,150,12,Big Blue,2,16.67%
94,DS Shroom Ridge,150,10,DS Shroom Ridge,2,20.00%
94,DS Shroom Ridge,150,10,Big Blue,4,40.00%
94,DS Shroom Ridge,150,10,Tour Paris Promenade,4,40.00%
95,GCN DK Mountain,150,10,GCN DK Mountain,6,60.00%
95,GCN DK Mountain,150,10,Dolphin Shoals,2,20.00%
95,GCN DK Mountain,150,10,Random,2,20.00%
96,GBA Riverside Park,150,12,Dragon Driftway,4,33.33%
96,GBA Riverside Park,150,12,GBA Riverside Park,6,50.00%
96,GBA Riverside Park,150,12,Sweet Sweet Canyon,2,16.67%
97,Twisted Mansion,150,12,Mute City,7,58.33%
97,Twisted Mansion,150,12,Mario Kart Stadium,2,16.67%
97,Twisted Mansion,150,12,Twisted Mansion,1,8.33%
97,Twisted Mansion,150,12,Random,2,16.67%
98,Tour London Loop,150,12,Random,4,33.33%
98,Tour London Loop,150,12,Tour London Loop,4,33.33%
98,Tour London Loop,150,12,Rainbow Road,1,8.33%
98,Tour London Loop,150,12,GBA Cheese Land,3,25.00%
99,SNES Bowser Castle 3,150,12,Random,2,16.67%
99,SNES Bowser Castle 3,150,12,Tour Madrid Drive,4,33.33%
99,SNES Bowser Castle 3,150,12,SNES Bowser Castle 3,1,8.33%
99,SNES Bowser Castle 3,150,12,DS Tick-Tock Clock,3,25.00%
99,SNES Bowser Castle 3,150,12,Merry Mountain,2,16.67%
100,GBA Snow Land,150,11,Wii Coconut Mall,5,45.45%
100,GBA Snow Land,150,11,GBA Snow Land,1,9.09%
100,GBA Snow Land,150,11,Merry Mountain,4,36.36%
100,GBA Snow Land,150,11,Random,1,9.09%
101,DS Shroom Ridge,150,12,DS Shroom Ridge,3,25.00%
101,DS Shroom Ridge,150,12,GCN Waluigi Stadium,5,41.67%
101,DS Shroom Ridge,150,12,Random,3,25.00%
101,DS Shroom Ridge,150,12,GBA Riverside Park,1,8.33%
102,Ninja Hidaway,150,10,Random,6,60.00%
102,Ninja Hidaway,150,10,Ninja Hidaway,1,10.00%
102,Ninja Hidaway,150,10,Tour London Loop,3,30.00%
103,SNES Mario Circuit 3,200,12,3DS Neo Bowser City,5,41.67%
103,SNES Mario Circuit 3,200,12,Random,3,25.00%
103,SNES Mario Circuit 3,200,12,N64 Yoshi Valley,3,25.00%
103,SNES Mario Circuit 3,200,12,SNES Mario Circuit 3,1,8.33%
104,Twisted Mansion,150,12,Random,5,41.67%
104,Twisted Mansion,150,12,Twisted Mansion,6,50.00%
104,Twisted Mansion,150,12,Tour Athens Dash,1,8.33%
105,Tour Bangkok Rush,150,12,GBA Sunset Wilds,4,33.33%
105,Tour Bangkok Rush,150,12,Random,3,25.00%
105,Tour Bangkok Rush,150,12,Wii Maple Treeway,4,33.33%
105,Tour Bangkok Rush,150,12,Tour Bangkok Rush,1,8.33%
